dim,id,label,poems,authors
rhyme,aabbccdd,aabbccdd,51,25
rhyme,abbacddceffegg,abbacddceffegg,47,8
rhyme,ababcdcdefefgg,ababcdcdefefgg,43,7
rhyme,aaabab,aaabab,18,2
rhyme,xaxaxbxb,xaxaxbxb,17,7
rhyme,abbaabbacdcdcd,abbaabbacdcdcd,16,4
rhyme,ababccdeed,ababccdeed,13,5
rhyme,abaab,abaab,12,5
rhyme,ababccdd,ababccdd,11,8
rhyme,ababcdcdee,ababcdcdee,11,9
rhyme,ababbcbcc,ababbcbcc,10,8
rhyme,aabcbc,aabcbc,10,3
rhyme,abbaabbacdecde,abbaabbacdecde,9,2
rhyme,aaa,aaa,7,6
rhyme,abbacddcefefef,abbacddcefefef,7,4
rhyme,ababcdcdd,ababcdcdd,6,1
rhyme,xabba,xabba,5,4
rhyme,abbacddcefefgg,abbacddcefefgg,5,3
rhyme,ababb,ababb,5,4
rhyme,abbacc,abbacc,4,4
rhyme,abba,abba,4,4
rhyme,aabccbdedexfxf,aabccbdedexfxf,4,2
rhyme,ababcdcdx,ababcdcdx,4,2
rhyme,ababcdcdefefghghii,ababcdcdefefghghii,3,1
rhyme,aabbccc,aabbccc,3,2
rhyme,ababcddcefefgg,ababcddcefefgg,3,2
rhyme,aaabcccb,aaabcccb,3,3
rhyme,ababcdcdefefef,ababcdcdefefef,3,2
rhyme,abbaabbacdcdee,abbaabbacdcdee,3,3
rhyme,ababcdcdefgefg,ababcdcdefgefg,3,1
rhyme,aaabcccbdddb,aaabcccbdddb,2,2
rhyme,aabab,aabab,2,2
rhyme,abaccb,abaccb,2,2
rhyme,abbacdcdeffegg,abbacdcdeffegg,2,1
rhyme,aabcbcdd,aabcbcdd,2,2
rhyme,ababccc,ababccc,2,2
rhyme,abbacddcefeffe,abbacddcefeffe,2,1
rhyme,aax,aax,2,1
rhyme,ababcdcdefef,ababcdcdefef,2,2
rhyme,aabaab,aabaab,2,1
rhyme,ababbcbccdcdee,ababbcbccdcdee,2,1
rhyme,aabbb,aabbb,2,2
rhyme,ababxcxc,ababxcxc,2,2
rhyme,ababccbdd,ababccbdd,2,2
rhyme,abbacddceefgfg,abbacddceefgfg,2,2
rhyme,aabbcddc,aabbcddc,1,1
rhyme,ababccddee,ababccddee,1,1
rhyme,abacccbddeeffgghihkki,abacccbddeeffgghihkki,1,1
rhyme,abbabbaacdcdcd,abbabbaacdcdcd,1,1
rhyme,aabbccddee,aabbccddee,1,1
rhyme,abbaabbacddcee,abbaabbacddcee,1,1
rhyme,ababccac,ababccac,1,1
rhyme,aabbbacc,aabbbacc,1,1
rhyme,ababacacdcdeee,ababacacdcdeee,1,1
rhyme,abbaccdeedfgfg,abbaccdeedfgfg,1,1
rhyme,ababccddeeffgghh,ababccddeeffgghh,1,1
rhyme,ababababccdeed,ababababccdeed,1,1
rhyme,aabccbdeedffgghhiikllkkllmm,aabccbdeedffgghhiikllkkllmm,1,1
rhyme,ababbcbcdedeff,ababbcbcdedeff,1,1
rhyme,aabcbcddd,aabcbcddd,1,1
rhyme,aabcccb,aabcccb,1,1
rhyme,ababccb,ababccb,1,1
rhyme,abbababacdcdcd,abbababacdcdcd,1,1
rhyme,aabbccddeeff,aabbccddeeff,1,1
rhyme,abbaababcdcdcd,abbaababcdcdcd,1,1
rhyme,aabccbdede,aabccbdede,1,1
rhyme,abbaabbacdcdcdc,abbaabbacdcdcdc,1,1
rhyme,ababababcdcddc,ababababcdcddc,1,1
rhyme,ababbccbdedeff,ababbccbdedeff,1,1
rhyme,abbaccdeedffgghhii,abbaccdeedffgghhii,1,1
rhyme,ababccxc,ababccxc,1,1
rhyme,ababccddeee,ababccddeee,1,1
rhyme,aabcbcdedeff,aabcbcdedeff,1,1
rhyme,ababccd,ababccd,1,1
rhyme,abbacdcd,abbacdcd,1,1
rhyme,abbababaccdcdd,abbababaccdcdd,1,1
rhyme,abbaa,abbaa,1,1
rhyme,ababbcbcdedefgfgfhihiklklmm,ababbcbcdedefgfgfhihiklklmm,1,1
rhyme,ababccddd,ababccddd,1,1
rhyme,ababcdcdeeffgghihikklmml,ababcdcdeeffgghihikklmml,1,1
rhyme,abbacdcdefefef,abbacdcdefefef,1,1
rhyme,xaxabb,xaxabb,1,1
rhyme,ababcddcefeffggghihikk,ababcddcefeffggghihikk,1,1
rhyme,abbacddceffegghiihkk,abbacddceffegghiihkk,1,1
rhyme,abbacdcdefefgg,abbacdcdefefgg,1,1
rhyme,abbaccdeedffgghh,abbaccdeedffgghh,1,1
rhyme,abbacdcdefefghhgii,abbacdcdefefghhgii,1,1
rhyme,ababccdedeefxf,ababccdedeefxf,1,1
