poem_id,aut_id,foottype,footnums,stanza,spos,syllab,form,met,rhyme,nlines
oau90-w0570,pers00350,iamb,pentameter,octet,pair,10.10.10.10.10.10.10.10,,-+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/,aabbccdd,280
o4741-w0270,pers00091,iamb,pentameter,couplet,pair,10,heroiccouplet|occasional,-+|-+|-+|-+|-+/,aa,18
o4986-w0650,pers00029,trochee,tetrameter,couplet,pair,7,ode,+-|+-|+-|+/,aa,22
tgaen-wdooo,pers00039,iamb,tetrameter,couplet,pair,8,ode|dialogue|ossian|prophecy,-+|-+|-+|-+/,aa,94
o5089-w0720,pers00185,iamb,tetrameter,octet,pair,8.8.8.8.8.8.8.8,elegy|lament,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/,aabbccdd,56
prc90-w0130,pers00328,iamb,tetrameter,quatrain,cross,8.8.8.8,tale,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/,abab,24
pcc86-w0060,pers00323,iamb,pentameter,couplet,pair,10,narrative,-+|-+|-+|-+|-+/,,191
o4984-w0250,pers00045,iamb,tetrameter|trimeter,quatrain,cross,8.6.8.6,philosophic,-+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/,abab,32
o5156-w0920,pers00108,iamb,tetrameter|trimeter,sestet,tail,6.6.8.6.6.8,,-+|-+|-+/         -+|-+|-+/         -+|-+|-+|-+/         -+|-+|-+/         -+|-+|-+/         -+|-+|-+|-+/,aabccb,30
o5125-w0120,pers00154,iamb,pentameter,couplet,pair,10,heroiccouplet|epistle,-+|-+|-+|-+|-+/,aa,66
o4784-w0630,pers00268,iamb,trimeter|tetrameter|pentameter|hexameter,,,,ode|paraphrase,irregular,irregular,303
tpc26-w0120,pers00353,iamb,pentameter,couplet,pair,10,address,-+|-+|-+|-+|-+/,aa,44
o5156-w0540,pers00027,iamb,tetrameter,quatrain,cross,8.8.8.8,,-+|-+|-+|-+/         -+|-+|-+|-+/         -+|-+|-+|-+/         -+|-+|-+|-+/,abab,24
o5156-w0124,pers00035,iamb,tetrameter,quatrain,pair,8.8.8.8,song,-+|-+|-+|-+/          -+|-+|-+|-+/          -+|-+|-+|-+/          -+|-+|-+|-+/,aabb,24
o5153-w0760,pers00123,iamb,pentameter,,,10,sonnet|ItalianSonnet|imitation|translation|paraphrase,-+|-+|-+|-+|-+/,abbacddcefefef,14
n22cs-w0240,pers00290,iamb,pentameter,,,10,sonnet,-+|-+|-+|-+|-+/,ababcdcdefefgg,14
bed98-w0040,pers00340,iamb,tetrameter,couplet,pair,8,allegory,-+|-+|-+|-+/,aa,72
o5157-w0075,pers00038,iamb,pentameter,quatrain,cross,10.10.10.10,heroiccouplet|elegy,-+|-+|-+|-+|-+/     -+|-+|-+|-+|-+/     -+|-+|-+|-+|-+/     -+|-+|-+|-+|-+/,abab,32
o5153-w0794,pers00119,anapaest,tetrameter,quatrain,pair,11.11.11.11,epigram,-+|--+|--+|--+/      -+|--+|--+|--+/      -+|--+|--+|--+/      -+|--+|--+|--+/,aabb,4
